initial_token,token_with_border
kampanya,kam<>panya
oylardı,oylard<>ı
çıxarışı,çıx<>a<>rışı
iktms,iktm<>s
öyrən,öyr<>ə<>n
döviz,döv<>i<>z
gətirməd,gət<>i<>rməd
renin,reni<>n
plaza,pla<>z<>a
ploesti,ploes<>t<>i
demişkən,demişk<>ə<>n
başkenti,baş<>kenti
arxivini,arxivi<>n<>i
qamlama,qamlam<>a
səhnədə,səh<>nəd<>ə
qazla,qaz<>la
təmasda,təm<>asd<>a
buralara,bur<>a<>lara
kuknudze,kuknudz<>e
ağayevi,ağa<>yevi
sattınız,sattın<>ı<>z
belh,bel<>h
malları,mal<>ları
təməl,təm<>əl
sayımı,say<>ımı
vcon,vco<>n
filmler,fil<>mle<>r
oxunması,oxu<>nması
alnının,alnın<>ı<>n
hesabini,hes<>a<>bini
cavabı,cav<>a<>bı
bölünmə,böl<>ü<>nmə
qrupda,qrupd<>a
ariyer,ariye<>r
geçiri,geç<>iri
pozurd,pozur<>d
fevralda,fevrald<>a
tarın,tar<>ın
sənlik,sən<>lik
daşınırd,daş<>ınır<>d
makaonun,makaon<>u<>n
boğozli,boğozl<>i
qoruyaca,qor<>uyaca
düşmiş,düş<>m<>iş
bilərmi,bil<>ərm<>i
onsuzda,onsuz<>d<>a
etiyopya,etiyop<>y<>a
mmüşfiq,mmüşfi<>q
sevənlər,sev<>ənlə<>r
salmaqla,sal<>maql<>a
kaftanı,kaftan<>ı
vəlidi,vəlid<>i
bandar,ban<>da<>r
ələddin,ələdd<>i<>n
batavia,batavi<>a
yillux,yillu<>x
dəyəri,dəy<>əri
dstsini,dstsi<>n<>i
düzmece,düz<>mec<>e
axalsixe,axalsix<>e
ifsstefi,ifsstef<>i
əsrlərlə,əsrlərl<>ə
etməkdi,etm<>ə<>kdi
neolitik,neolit<>i<>k
edənədək,edənəd<>ə<>k
kilsədə,kilsəd<>ə
derler,der<>ler
tirnajor,tirnajo<>r
payla,pay<>la
xoşməkan,xoşmək<>a<>n
kardaş,kar<>daş
xudmani,xudma<>n<>i
apise,apis<>e
xınalıq,xınal<>ı<>q
arranın,arranı<>n
telaşlar,tel<>aşlar
anything,anythi<>n<>g
qapanlı,qapanl<>ı
karış,kar<>ış
mehdili,mehdil<>i
kolej,kol<>ej
base,bas<>e
drnuru,drnur<>u
düşüyord,düş<>ü<>yord
soldiers,soldier<>s
şəhmat,şəh<>ma<>t
sayıdaki,sayıda<>k<>i
sözünüz,söz<>ünüz
məhvi,məh<>vi
mahkumun,mah<>kumu<>n
alizade,aliza<>d<>e
ibni,ibn<>i
bakro,bak<>r<>o
dolar,dol<>ar
trafiği,tra<>fiğ<>i
kıprısda,kıprısd<>a
çamkani,çamka<>n<>i
qoşarı,qoş<>arı
vergiye,ver<>giye
qısaca,qısac<>a
mantı,man<>tı
yerdn,yer<>dn
qoyd,qoy<>d
adibələr,adibəl<>ə<>r
etməkdə,etm<>ə<>kdə
nihyet,nihye<>t
orojenik,orojen<>i<>k
chacıyev,chacıy<>e<>v
halini,hal<>ini
nağıldır,nağıld<>ı<>r
birleşt,bir<>l<>eşt
tondan,tonda<>n
qarçe,qar<>çe
milyonda,mil<>yonda
karasal,kar<>a<>sal
denetim,den<>etim
stylists,stylist<>s
məhsəti,məh<>səti
üstundə,üstun<>d<>ə
mövsüm,möv<>süm
ödəməkdə,ödə<>məkdə
saymayı,say<>may<>ı
şuşakənd,şuşakə<>n<>d
şahlar,şah<>lar
embaood,embaoo<>d
tətnəyə,tətnəy<>ə
qoyaraq,qoyar<>a<>q
kategori,kat<>egori
vmotsart,vmotsar<>t
kəsir,kəs<>ir
kambises,kam<>bise<>s
hillary,hillar<>y
alırken,alırk<>e<>n
məhşur,məh<>şu<>r
şeritten,şeritt<>e<>n
atacaqla,ata<>caqla
yardım,yar<>dım
eximii,eximi<>i
sauli,saul<>i
milliyet,mil<>l<>iyet
doğunca,doğ<>unc<>a
şogunun,şogunu<>n
məsələy,məs<>ələy
jikji,jikj<>i
dövrləri,döv<>rləri
karate,kar<>a<>te
barmaq,bar<>maq
qazdim,qaz<>di<>m
çıxmaği,çıx<>maği
khahad,khaha<>d
versiy,ver<>siy
qalmışdı,qal<>mışdı
ədalətdə,ədalətd<>ə
xassəsi,xassəs<>i
aqobil,aqob<>i<>l
oradaca,oradac<>a
tarixə,tar<>i<>xə
öümanına,öümanı<>n<>a
masonlu,masonl<>u
savaş,sav<>aş
varmi,var<>mi
tüldən,tüld<>ə<>n
dieqo,dieq<>o
komünler,kom<>ünler
marağa,mar<>ağa
profd,pro<>fd
istiyord,ist<>i<>yord
eldiven,eldiv<>e<>n
frizler,frizl<>e<>r
rahibin,rahib<>i<>n
şanqın,şanq<>ı<>n
nisbtind,nisbti<>n<>d
müsgünaz,müs<>güna<>z
zaripov,zarip<>o<>v
qazılırd,qaz<>ılır<>d
çıxışdan,çıxışd<>a<>n
kiatətə,kiatət<>ə
kəsrinin,kəsrin<>i<>n
yüzgər,yüz<>gər
dentons,den<>ton<>s
mountain,mounta<>i<>n
modanın,modan<>ı<>n
oğlumun,oğlumu<>n
nothing,nothi<>n<>g
karşıtı,kar<>şıtı
krişna,kriş<>n<>a
sordu,sor<>du
yayılmış,yay<>ı<>lmış
onoğris,onoğri<>s
manfred,man<>fre<>d
abddenn,abdden<>n
üçrəngli,üçrəng<>l<>i
getiren,get<>iren
vahimədə,vahiməd<>ə
böll,böl<>l
maksutov,maksut<>o<>v
marşın,mar<>şın
adındaki,adındak<>i
kelati,kelat<>i
sevmiş,sev<>miş
kutupsal,kutups<>a<>l
oxunaqlı,oxunaq<>l<>ı
etrek,etre<>k
çıxmaz,çıx<>maz
rodrigez,rodrige<>z
rzind,rzi<>n<>d
sünnilər,sünnilə<>r
çıkmışla,çık<>mışl<>a
sakitcə,sakitc<>ə
dədəsi,dədəs<>i
çıxmağa,çıx<>mağa
işleri,işl<>eri
banliyo,ban<>liyo
heyətimə,hey<>ətimə
korumak,kor<>umak
qafda,qafd<>a
bağirov,bağ<>iro<>v
tədbirə,təd<>birə
qalmağa,qal<>mağa
kazımış,kaz<>ımı<>ş
çağırtı,çağ<>ırtı
reyhanə,reyhan<>ə
boyçəki,boyçə<>k<>i
əcəba,əcəb<>a
xanabad,xanaba<>d
dağlıktı,dağ<>lıkt<>ı
təkamül,tək<>amül
çatması,çat<>ması
öcalın,öcalı<>n
sarılmaq,sar<>ılmaq
davud,dav<>ud
amallara,amallar<>a
yükləyin,yük<>ləyin
şuşadan,şuşad<>a<>n
məzhəbə,məz<>həbə
uyduğu,uyduğ<>u
böle,böl<>e
kimler,kim<>ler
vədəsi,vədəs<>i
babaher,babah<>e<>r
saldılar,sal<>dıla<>r
nzirinin,nzirin<>i<>n
görürsə,gör<>ü<>rsə
kısmında,kısmınd<>a
çıxarırı,çıx<>a<>rırı
açılışın,açı<>lışın
duymay,duy<>may
pnömatik,pnömat<>i<>k
dildedi,dil<>ded<>i
dahisi,dahis<>i
aznazpon,aznazp<>o<>n
ayinləri,ayinlə<>r<>i
mussahi,mus<>sah<>i
yanq,yan<>q
menteşe,menteş<>e
nitsaya,nitsay<>a
çoxsayda,çox<>sayd<>a
sayılmı,say<>ılmı
çalmaqla,çal<>maql<>a
kalırlar,kal<>ırlar
bəxtsiz,bəxts<>i<>z
hanki,hank<>i
icranın,icran<>ı<>n
vaxtinda,vaxtin<>d<>a
açıkta,açı<>kta
qamadrr,qamadr<>r
təcrübə,təc<>rübə
ayrılışı,ayr<>ılış<>ı
ulaşdi,ulaşd<>i
margrete,mar<>grete
vagonuyd,vagonuy<>d
şahi,şah<>i
çalgı,çal<>gı
söylə,söy<>l<>ə
namuslar,namusla<>r
kaynayan,kaynay<>a<>n
güvvədə,güvvə<>d<>ə
asdığı,asdığ<>ı
xounuza,xounuz<>a
inamını,ina<>mını
yermakov,yer<>mako<>v
adağın,adağ<>ı<>n
putinlə,putinl<>ə
əlizaman,əli<>zaman
evliykən,evliyk<>ə<>n
markalar,mar<>kalar
atabəyi,ata<>bəyi
azər,azə<>r
cümlesi,cümles<>i
satış,sat<>ış
kalkanı,kal<>kan<>ı
salamını,salamı<>n<>ı
akabinde,akabin<>d<>e
purseyid,purseyi<>d
gudermes,guderme<>s
çalmalu,çal<>malu
təminat,təm<>inat
löfven,löfv<>e<>n
dolan,dol<>an
əsassız,əsa<>ssız
kanalın,kan<>alın
köçürmə,köç<>ürmə
imamali,imama<>l<>i
demkdi,demk<>d<>i
myusifov,myusif<>o<>v
araya,ara<>ya
çingizin,çingizi<>n
kama,kam<>a
sazişən,sazişə<>n
məhsulun,məh<>sulun
səmtdə,səmtd<>ə
bayraği,bay<>raği
çəkməyi,çək<>məy<>i
nəzərdən,nəzərd<>ə<>n
bennor,benno<>r
yapmakla,yap<>makl<>a
qazının,qaz<>ını<>n
duyarla,duy<>arla
gülərsin,gülərs<>i<>n
karala,kar<>a<>la
duyarlı,duy<>arlı
yasayı,yasay<>ı
aegukga,aegukg<>a
sistana,sis<>tana
məskun,məs<>kun
dördqat,dördq<>a<>t
epozit,epozi<>t
terra,ter<>ra
oranının,oranını<>n
qösküni,qöskü<>n<>i
shakes,shake<>s
dönmkdn,dön<>mkd<>n
torununa,tor<>unun<>a
sayda,say<>da
salanda,sal<>and<>a
taparaq,tap<>ara<>q
nhikmət,nhikmə<>t
sirrinin,sirrin<>i<>n
yoktan,yokta<>n
dəyişəcə,dəy<>i<>şəcə
növünün,növünü<>n
meyit,mey<>it
solğun,solğ<>u<>n
görece,gör<>ece
asısız,asıs<>ı<>z
kapatıld,kap<>atıld
nevanın,nevan<>ı<>n
keserek,kesere<>k
banff,ban<>ff
sind,sin<>d
kolonun,kol<>onu<>n
gülnar,gül<>nar
məhvdən,məhvd<>ə<>n
sonatxəm,son<>atxə<>m
fkrinə,fkri<>n<>ə
istixana,ist<>i<>xana
dümzsini,dümzsi<>n<>i
onlarin,onlari<>n
edirdil,edi<>rdil
kareler,karel<>e<>r
qrupudu,qrupud<>u
şuşinski,şuşinsk<>i
sonadək,sonad<>ə<>k
nlük,nlü<>k
ucaya,ucay<>a
ətdə,ətd<>ə
alma,alm<>a
aqsaka,aqsa<>k<>a
izahının,izahını<>n
tayında,tayınd<>a
buraları,bur<>a<>ları
profil,pro<>fil
yüzücü,yüz<>üc<>ü
qayəsini,qayəsi<>n<>i
şiddətlə,şiddətl<>ə
parlaqdı,par<>laqd<>ı
yazmısa,yaz<>mıs<>a
arnings,arning<>s
bağlidur,bağ<>lidu<>r
ölçekte,ölçekt<>e
qoyulmu,qoy<>ulmu
yanvarla,yan<>varl<>a
bitməyən,bit<>məyə<>n
sevi,sev<>i
qıçımi,qıçım<>i
qarsdan,qar<>sda<>n
polonski,polons<>k<>i
pölten,pölt<>e<>n
kodların,kodları<>n
dişbudak,dişbud<>a<>k
keçdikjə,keç<>dikj<>ə
comarcas,comarca<>s
açış,açı<>ş
köçürür,köç<>ürür
şüşəsi,şüşəs<>i
anamızın,anamız<>ı<>n
azğurlu,azğurl<>u
şeması,şemas<>ı
zəmzəm,zəmzə<>m
vaydere,vayder<>e
bilsələr,bil<>sələ<>r
sədərək,sədər<>ə<>k
mələkə,məl<>əkə
düzəltd,düz<>əltd
vlasti,vlas<>t<>i
arxında,arxın<>d<>a
kimiləri,kim<>iləri
harit,har<>it
dönməzi,dön<>məzi
görkəmi,gör<>kəmi
qiymətdi,qiy<>m<>ətdi
olmaqdad,olm<>a<>qdad
qirdi,qird<>i
kurmay,kur<>may
yorumunu,yorumun<>u
sarbonna,sarbon<>n<>a
tarımn,tar<>ımn
dağınık,dağ<>ı<>nık
buludlu,bul<>u<>dlu
great,grea<>t
banaki,bana<>k<>i
riayət,riayə<>t
aznavran,aznavr<>a<>n
yayacağı,yay<>acağ<>ı
çəkmişi,çək<>mişi
daddr,dadd<>r
minskdə,minsk<>d<>ə
canı,can<>ı
manuel,man<>ue<>l
sevdadır,sevdad<>ı<>r
kiorada,kiora<>d<>a
verməyin,ver<>m<>əyin
qulamın,qulam<>ı<>n
emailsat,emailsa<>t
önemsiz,önemsi<>z
theresa,there<>s<>a
nadejda,nadej<>d<>a
proletar,pro<>letar
şaumyan,şaumya<>n
olamıyo,ola<>mıy<>o
journals,journal<>s
vurmakta,vur<>makta
imanovda,imanovd<>a
qalayevə,qal<>ayev<>ə
istəyə,ist<>ə<>yə
olonxo,olonx<>o
aşğal,aşğ<>a<>l
pineti,pine<>t<>i
topluma,top<>l<>uma
müteakip,müteaki<>p
davamıza,dav<>amız<>a
qalxd,qal<>xd
məntiqə,mən<>tiqə
yzeyir,yzey<>i<>r
yüzünde,yüz<>ünde
tanıya,tan<>ı<>ya
səfəroğl,səf<>əroğl
katliam,kat<>liam
epoxanın,epoxan<>ı<>n
məmunun,məmunu<>n
sonucudu,son<>ucudu
ötəndə,ötənd<>ə
tobacco,tobacc<>o
həydər,həyd<>ə<>r
satmaqda,sat<>maqd<>a
katılma,kat<>ılma
karabakh,kar<>abak<>h
çadırını,çadırın<>ı
əlavənin,əlavən<>i<>n
sağdakı,sağda<>k<>ı
çıxışı,çıx<>ışı
istefada,ist<>efad<>a
fazladı,fazlad<>ı
göreve,gör<>eve
dilində,dil<>ində
bqxk,bqx<>k
qəzədə,qəzəd<>ə
sitatdan,sitatd<>a<>n
ortamdan,ortamd<>a<>n
gelişt,gel<>i<>şt
bilmərik,bil<>məri<>k
lyunqbi,lyunqb<>i
qaçmışam,qaçmışa<>m
günbəgün,gün<>bəgü<>n
kazi,kaz<>i
camaatın,camaatı<>n
gedərkən,gedərk<>ə<>n
kaybolma,kay<>bolma
məzarı,məz<>arı
türdendi,türden<>d<>i
sevrs,sev<>r<>s
uygurlar,uygurl<>a<>r
baxmalı,bax<>malı
stabildi,sta<>bild<>i
durmuşu,dur<>muşu
yener,yen<>er
deniyo,den<>iy<>o
birind,bir<>i<>nd
batıyla,batıyl<>a
layyiq,layyi<>q
rəqsidir,rəqsid<>i<>r
vuruşma,vur<>uşma
qayqılar,qayqıl<>a<>r
neyrotex,neyrote<>x
dolaşıp,dol<>aşıp
köyünün,köyünü<>n
maliye,mal<>iye
saynn,say<>nn
qaxıb,qaxı<>b
əhlinin,əhlini<>n
tamme,tam<>me
işleyen,işl<>eyen
turath,tur<>at<>h
lakaplı,lakap<>l<>ı
qurumda,qur<>u<>mda
söyler,söy<>l<>er
doğuşa,doğ<>uşa
balaxanı,balaxa<>n<>ı
əlaqəs,əla<>qəs
vebalin,vebal<>i<>n
kaydı,kay<>dı
sanayici,san<>ayic<>i
tanınmaq,tan<>ı<>nmaq
yayin,yay<>in
ılımandı,ılıman<>d<>ı
paritesi,par<>itesi
veritas,ver<>i<>tas
haramı,har<>amı
tariffs,tar<>iff<>s
doğd,doğ<>d
karahoca,kar<>ahoc<>a
magrebim,magrebi<>m
türkiyd,tür<>k<>iyd
paylarla,pay<>larl<>a
aparıla,apa<>r<>ıla
yerler,yer<>l<>er
musahibə,mus<>ahib<>ə
modaya,moday<>a
fşopen,fşop<>e<>n
məndüf,mən<>düf
onunun,onunu<>n
ögudə,ögu<>d<>ə
ayqepar,ayqep<>a<>r
gelirine,gel<>i<>rine
uzayıp,uza<>yı<>p
buskerud,buskeru<>d
köçkünə,köç<>künə
söqərsi,söqər<>s<>i
siyaseti,siy<>a<>seti
təsbiti,təs<>biti
haklar,hak<>lar
tamaşa,tam<>a<>şa
planın,pla<>n<>ın
çuruği,çuruğ<>i
zaminlik,zaminli<>k
milaf,mil<>af
narmer,narme<>r
istəyin,ist<>ə<>yin
vermərəm,ver<>mərə<>m
davullar,dav<>ullar
kavuxi,kavux<>i
işlemeli,işl<>emeli
düzeni,düz<>eni
valiliği,valiliğ<>i
halnn,hal<>nn
yetürür,yet<>ürü<>r
sözləri,söz<>ləri
okuyama,okuyam<>a
qorxurd,qor<>xurd
kefalet,kefale<>t
postunun,postunu<>n
görünürd,gör<>ü<>nürd
olayının,ola<>yını<>n
liderdi,liderd<>i
kserofil,kserof<>i<>l
düzeyde,düz<>eyde
köçü,köç<>ü
ziyanlik,ziyanli<>k
aresnn,aresn<>n
əsədovla,əsədovl<>a
sağalda,sağ<>alda
bitənə,bit<>ənə
kanada,kan<>ada
kuçəsi,kuçə<>s<>i
düymdə,düymd<>ə
yazandan,yazand<>a<>n
sataşı,sat<>aşı
sonraki,son<>raki
zaafiyet,zaafiye<>t
yaziya,yaz<>iya
ruhda,ruhd<>a
kiribati,kiriba<>t<>i
thsilini,thsili<>n<>i
yerə,yer<>ə
məliyan,məl<>iya<>n
trafa,tra<>fa
çiçəqi,çiçəq<>i
amalının,amalını<>n
məmədova,məmədo<>v<>a
versəniz,ver<>səni<>z
həndbol,həndbo<>l
deməkdə,dem<>əkdə
atanzdan,atanzd<>a<>n
simlrədə,simlrə<>d<>ə
belki,bel<>ki
aramaqda,aramaq<>d<>a
bezedi,bezed<>i
original,origina<>l
virgin,virgi<>n
bayandır,bay<>andı<>r
şəcərəsi,şəcərə<>s<>i
davakar,davak<>a<>r
oxuyardı,oxu<>yard<>ı
həsənin,həsəni<>n
şusa,şus<>a
doğrudu,doğ<>rudu
çöpe,çöp<>e
genetik,gen<>etik
forumla,for<>umla
tramvay,tra<>mvay
qalada,qal<>ada
atınca,atınc<>a
caretta,carett<>a
danışma,dan<>ı<>şma
etmirlər,etm<>irlə<>r
yapıdadı,yap<>ıdad<>ı
kalemi,kal<>emi
qalxı,qal<>xı
gətirmək,gət<>i<>rmək
yönəltd,yön<>əltd
tarihini,tar<>i<>hini
saptıran,saptıra<>n
şərfini,şərfi<>n<>i
dirəm,dir<>əm
yiyerler,yiyerl<>e<>r
yəməniyə,yəməniy<>ə
günlər,gün<>lər
anlayışa,anl<>a<>yışa
çanaqçı,çanaqç<>ı
adası,ada<>sı
səudiyyə,səudiyy<>ə
tavrıyla,tavrıy<>l<>a
tanınmır,tan<>ı<>nmır
census,censu<>s
miladdan,miladd<>a<>n
kapitan,kap<>itan
otağında,otağın<>d<>a
millətci,mil<>l<>ətci
sticky,stick<>y
qoruduğu,qor<>uduğ<>u
dominant,dominan<>t
vayxır,vayx<>ı<>r
auditini,auditi<>ni
cəraən,cəra<>ə<>n
doyunca,doyunc<>a
xəlifəsi,xəlifəs<>i
kolonizə,kol<>oniz<>ə
incider,incide<>r
qalayev,qal<>ayev
dönəlim,dön<>əli<>m
devrimle,dev<>rimle
qəlbinin,qəlbin<>i<>n
tipsiz,tips<>i<>z
vaggelis,vaggeli<>s
kominist,kom<>inis<>t
layihlri,layihl<>r<>i
sevgili,sev<>gili
yapmışt,yap<>mışt
kaderini,kaderin<>i
oxuyucu,oxu<>yucu
oxuyuruq,oxu<>yuru<>q
yığvalı,yığva<>l<>ı
öyrədi,öyr<>ə<>di
çözmeye,çözmey<>e
tutaq,tut<>aq
qalmırdı,qal<>mırd<>ı
cırlar,cırl<>a<>r
sürəc,sür<>əc
veriln,ver<>i<>ln
urgel,urge<>l
idini,idin<>i
görünən,gör<>ü<>nən
yandrd,yan<>drd
vinil,vini<>l
mühəndis,müh<>əndis
sürür,sür<>ür
olaylara,ola<>ylara
qaynaq,qay<>naq
aparılı,apa<>r<>ılı
belində,belin<>d<>ə
syqırımı,syqırım<>ı
türkün,tür<>k<>ün
fərz,fər<>z
üzümdü,üzümd<>ü
saydıla,say<>dıl<>a
ebrüşüm,ebrüşü<>m
icraya,icray<>a
görürü,gör<>ü<>rü
hecürler,hecürl<>e<>r
resort,res<>or<>t
öyrnmk,öyr<>nm<>k
barat,bar<>at
geyduği,geyduğ<>i
maltsev,mal<>tse<>v
ordenini,ordeni<>n<>i
şəmistan,şəmist<>a<>n
uçarkən,uçark<>ə<>n
durmayıb,dur<>mayıb
rəfail,rəfai<>l
daykündi,day<>kündi
vurğulu,vur<>ğulu
zediban,zedib<>a<>n
tanrıdan,tanrıd<>a<>n
çənbər,çənb<>ə<>r
meşrepli,meşrep<>l<>i
səfirə,səf<>irə
bütçeyi,bütçey<>i
barede,bar<>ed<>e
səhmlər,səh<>mlər
tanzim,tan<>zi<>m
tepav,tepa<>v
cicero,cicer<>o
kanaati,kan<>aat<>i
mallar,mal<>lar
xerxes,xerxe<>s
yetişen,yet<>işe<>n
təbəssüm,təb<>əssüm
yaxa,yax<>a
gətirdi,gət<>i<>rdi
bilmidi,bil<>mid<>i
dərnəyə,dər<>nəyə
unable,unab<>l<>e
azrsu,azrs<>u
tertere,ter<>tere
harabeye,har<>abey<>e
knesset,knesse<>t
duymuş,duy<>muş
elindeki,elindek<>i
işləm,işl<>ə<>m
nlarda,nlar<>d<>a
idareyi,idarey<>i
təcrübən,təc<>rübən
edip,edi<>p
bazarıdı,bazarıd<>ı
əlaqədə,əla<>qədə
yirminci,yirminc<>i
bölüşmüş,böl<>ü<>şmüş
bmmyk,bmmy<>k
döyülmüş,döyülmü<>ş
fəxarət,fəxarə<>t
geniş,gen<>i<>ş
hərəkətə,hər<>əkətə
yarışını,yar<>ışın<>ı
bures,bur<>es
hususuna,hususun<>a
clisi,clis<>i
dəymə,dəy<>mə
qaragilə,qar<>agil<>ə
ekizdir,ekizd<>i<>r
yaratsa,yar<>a<>tsa
offbağlı,offbağ<>l<>ı
müsəddi,müs<>ədd<>i
alruşu,alruş<>u
bvey,bve<>y
bankınız,ban<>kını<>z
siçrətmə,siçrətm<>ə
qlier,qlie<>r
söylemen,söy<>l<>emen
chorus,choru<>s
alverinə,alveri<>n<>ə
terror,ter<>ror
törkskix,tör<>kski<>x
afrikaya,afrikay<>a
gördüğü,gör<>düğü
gamlığı,gamlı<>ğ<>ı
kötünün,kötün<>ü<>n
lobbiyə,lobbiy<>ə
düzümü,düz<>ümü
mumiyası,mumiyas<>ı
siqləti,siqlə<>t<>i
ayrıldı,ayr<>ı<>ldı
tutulaca,tut<>u<>laca
görün,gör<>ü<>n
yanacağı,yan<>acağı
puççini,puççi<>n<>i
insanlik,ins<>anlik
bayramli,bay<>ramli
bulağı,bul<>ağı
düzəli,düz<>əli
vəzni,vəz<>ni
barreli,bar<>reli
deyək,dey<>ək
tələsik,təl<>əsik
uçuşurla,uçuşur<>l<>a
ikən,ikə<>n
temyizin,temyiz<>i<>n
tvdə,tvd<>ə
edərdini,edərdin<>i
axduxca,axduxc<>a
paris,par<>is
yarısını,yar<>ısın<>ı
zərrəcə,zər<>rəc<>ə
anlarını,anl<>a<>rını
mildi,mil<>d<>i
olmuşa,olm<>uşa
format,for<>m<>at
edirdik,edi<>rdik
fikriyle,fikriy<>l<>e
yaymağı,yay<>mağ<>ı
işlnmsin,işl<>nmsin
çıkmazın,çıkmaz<>ı<>n
yenilend,yen<>i<>lend
qüvvtli,qüvvt<>l<>i
başqurd,baş<>qurd
adlanı,adl<>a<>nı
fondunun,fondunu<>n
sonradan,sonrad<>a<>n
sayıb,say<>ıb
açsalar,açsal<>a<>r
evlərdə,evlərd<>ə
nesilden,nesild<>e<>n
girilen,gir<>ilen
midhət,midhə<>t
germanic,ger<>manic
channel,channe<>l
gird,gir<>d
səthlə,səthl<>ə
servisin,ser<>visi<>n
müslimin,müs<>limi<>n
satrabı,sat<>rab<>ı
papası,papas<>ı
dönmek,dön<>mek
raskoly,raskol<>y
sirrimiz,sirrim<>i<>z
turulu,tur<>ulu
keçərkan,keç<>ərka<>n
sandıqlı,san<>dıql<>ı
bizenin,bizen<>i<>n
atletika,atletik<>a
sahan,sah<>an
ənvərbek,ənvərb<>e<>k
ifadenin,ifaden<>i<>n
davadan,dav<>adan
nqənbər,nqənb<>ə<>r
tunisdə,tunis<>d<>ə
toplamı,top<>l<>amı
azalın,aza<>lın
bağırsağ,bağ<>ırsağ
yerlri,yer<>l<>ri
uduzsa,uduzs<>a
başkan,baş<>kan
bayrakla,bay<>rakla
sacilər,sacil<>ə<>r
beşdaş,beşda<>ş
sarmakla,sar<>makl<>a
icazeti,icazet<>i
kabarda,kab<>arda
ifaçiliq,ifaçili<>q
qoşmazd,qoş<>maz<>d
barişta,bar<>işt<>a
siğma,siğm<>a
jumleyı,jumley<>ı
məşum,məşu<>m
qaxmax,qaxma<>x
yükseldi,yük<>s<>eldi
şenniqin,şenniq<>i<>n
denemesi,den<>emesi
məcmuədi,məcmuəd<>i
savdınız,savdın<>ı<>z
dalana,dalan<>a
qurd,qur<>d
bilini,bil<>i<>ni
babamın,babam<>ı<>n
muğayat,muğay<>a<>t
cinnahın,cinnah<>ı<>n
bertels,bertel<>s
teksir,teksi<>r
anacaktı,ana<>cakt<>ı
gereğidi,ger<>eğidi
əskəran,əskəra<>n
yazıç,yaz<>ı<>ç
vteli,vte<>l<>i
arasını,ara<>sını
güce,güc<>e
insanovu,ins<>anovu
yönəldir,yön<>əldir
karnına,kar<>nın<>a
mesx,mes<>x
eamon,eam<>o<>n
kəlbəli,kəlbəl<>i
crgsind,crgsin<>d
düşməyən,düş<>m<>əyən
boğacak,boğaca<>k
imperium,imperiu<>m
rnmn,rnm<>n
vahididi,vahidid<>i
unutana,unutan<>a
asuka,asuk<>a
atlmayan,atlmay<>a<>n
ümumölkə,ümumölk<>ə
karadayi,kar<>aday<>i
beluc,bel<>uc
səpgidə,səpgid<>ə
ünvandır,ünvandı<>r
otoyolla,otoyol<>l<>a
aparması,apa<>r<>ması
safatın,safat<>ı<>n
toplumun,top<>l<>umun
livandan,livand<>a<>n
etikleri,etikle<>r<>i
paylamaq,pay<>lamaq
öğretti,öğrett<>i
yazı,yaz<>ı
bassanız,bassan<>ı<>z
manatdı,man<>atdı
günahsız,gün<>ahsız
mühit,müh<>it
manqal,man<>qa<>l
nanking,nanki<>n<>g
seçilmek,seç<>i<>lmek
xasdır,xasd<>ı<>r
metinler,met<>inler
tarihte,tar<>i<>hte
ucadan,ucad<>a<>n
artiq,art<>iq
siment,sim<>en<>t
dolaşan,dol<>aşan
young,youn<>g
jazz,jaz<>z
bağış,bağ<>ış
bekasını,bekasın<>ı
aras,ara<>s
rolumuz,rolumu<>z
raitd,rait<>d
tgmgqg,tgmgq<>g
nəticəyə,nəticəy<>ə
mühafizə,müh<>afizə
fərqlənd,fər<>qlənd
vuruşu,vur<>uşu
örükləri,örüklə<>r<>i
cildavo,cildav<>o
karaçi,kar<>a<>çi
mandatı,man<>datı
görevli,gör<>evli
laxlasa,laxlas<>a
gülüşlə,gül<>üşl<>ə
verici,ver<>i<>ci
cizgini,cizgin<>i
koldi,kol<>di
xocakı,xocak<>ı
daşqını,daş<>qını
pride,prid<>e
padnos,padno<>s
təsbit,təs<>bit
tövrlə,tövr<>l<>ə
yazi,yaz<>i
keçəl,keç<>əl
varus,var<>u<>s
ümüni,ümün<>i
aparılıb,apa<>r<>ılıb
əhlindən,əhlind<>ə<>n
shiyy,shiy<>y
saldırıp,sal<>dırıp
hikkinin,hikkin<>i<>n
yaşı,yaş<>ı
tartışma,tar<>tışma
zildə,zild<>ə
atlarına,atların<>a
yürüşə,yür<>üşə
ederdim,ederdi<>m
yetirib,yet<>i<>rib
aykırıdı,aykırı<>d<>ı
rangin,rang<>i<>n
haçlının,haçlın<>ı<>n
vasalı,vasal<>ı
manevi,man<>evi
himninin,himnin<>i<>n
yalniz,yalni<>z
tankdan,tankd<>a<>n
halkına,hal<>kına
sayin,say<>in
kalmakta,kal<>makta
aldurur,aldur<>u<>r
hayvanı,hay<>vanı
resim,res<>im
ionlarnn,ionlarn<>n
güdmədən,güdmədə<>n
aramda,ara<>md<>a
taybey,taybe<>y
əzizləmə,əzizləm<>ə
seferden,seferd<>e<>n
laçiner,laçine<>r
edilmedi,edi<>l<>medi
mehrili,mehril<>i
qatarın,qatarı<>n
tikmirdi,tikmir<>d<>i
çıkmadan,çık<>mada<>n
bizlerin,bizler<>i<>n
ertuğrul,ertuğru<>l
tanya,tan<>ya
